Pronomen,Verben,Translation
infinitiv,sein,to be
ich,bin,am
du,bist,are
er/sie/es,ist,is
wir,sind,are
ihr,seid,are
sie/Sie,sind,are
infinitiv,haben,have
ich,habe,have
du,hast,have
er/sie/es,hat,has
wir,haben,have
ihr,hat,have
sie/Sie,haben,have
infinitiv,werden,become
ich,werde,become
du,wirst,become
er/sie/es,wird,become
wir,werden,become
ihr,werdet,become
sie/Sie,werden,become
infinitiv,denken,think
ich,denke,think
du,denkst,think
er/sie/es,denkt,thinks
wir,denken,think
ihr,denkt,think
sie/Sie,denken,think
infinitiv,essen,eat
ich,esse,eat
du,isst,eat
er/sie/es,isst,eats
wir,essen,eat
ihr,esst,eat
sie/Sie,essen,eat
infinitiv,sagen,say
ich,sage,say
du,sagst,say
er/sie/es,sagt,says
wir,sagen,say
ihr,sagt,say
sie/Sie,sagen,say
infinitiv,geben,give
ich,gebe,give
du,gibst,give
er/sie/es,gibt,gives
wir,geben,give
ihr,gebt,give
sie/Sie,geben,give
infinitiv,kommen,come
ich,komme,come
du,kommst,come
er/sie/es,kommt,comes
wir,kommen,come
ihr,kommt,come
sie/Sie,kommen,come
infinitiv,machen,make
ich,mache,make
du,machst,make
er/sie/es,macht,makes
wir,machen,make
ihr,macht,make
sie/Sie,machen,make
infinitiv,gehen,go
ich,gehe,go
du,gehst,go
er/sie/es,geht,goes
wir,gehen,go
ihr,geht,go
sie/Sie,gehen,go
infinitiv,heißen,call
ich,heiße,call
du,heißt,call
er/sie/es,heißt,calls
wir,heißen,call
ihr,heißt,call
sie/Sie,heißen,call
infinitiv,wissen,know
ich,weiß,know
du,weißt,know
er/sie/es,weiß,knows
wir,wissen,know
ihr,wisst,know
sie/Sie,wissen,know
infinitiv,sehen,see
ich,sehe,see
du,siehst,see
er/sie/es,sieht,sees
wir,sehen,see
ihr,seht,see
sie/Sie,sehen,see
infinitiv,fahren,drive
ich,fahre,dirve
du,fährst,dirve
er/sie/es,fährt,dirves
wir,fahren,dirve
ihr,fahrt,dirve
sie/Sie,fahren,dirve
infinitiv,lernen,learn
ich,lerne,learn
du,lernst,learn
er/sie/es,lernt,learns
wir,lernen,learn
ihr,lernt,learn
sie/Sie,lernen,learn
infinitiv,spielen,play
ich,spiele,play
du,spielst,play
er/sie/es,spielt,plays
wir,spielen,plays
ihr,spielt,plays
sie/Sie,spielen,play
infinitiv,wohnen,live
ich,wohne,live
du,wohnst,live
er/sie/es,wohnt,lives
wir,wohnen,live
ihr,wohnt,live
sie/Sie,wohnen,live
infinitiv,lesen,read
ich,lese,read
du,liest,read
er/sie/es,liest,reads
wir,lesen,read
ihr,lest,read
sie/Sie,lesen,read
infinitiv,sprechen,speak
ich,spreche,speak
du,sprichst,speak
er/sie/es,spricht,speaks
wir,sprechen,speak
ihr,sprecht,speak
sie/Sie,sprechen,speak
infinitiv,lieben,love
ich,liebe,love
du,liebst,love
er/sie/es,liebt,loves
wir,lieben,love
ihr,liebt,love
sie/Sie,lieben,love
infinitiv,bleiben,stay
ich,bleibe,stay
du,bleibst,stay
er/sie/es,bleibt,stays
wir,bleiben,stay
ihr,bleibt,stay
sie/Sie,bleiben,stay
infinitiv,brauchen,need
ich,brauche,need
du,brauchst,need
er/sie/es,braucht,needs
wir,brauchen,need
ihr,braucht,need
sie/Sie,brauchen,need
infinitiv,kaufen,buy
ich,kaufe,buy
du,kaufst,buy
er/sie/es,kauft,buys
wir,kaufen,buy
ihr,kauft,buy
sie/Sie,kaufen,buy
infinitiv,bekommen,get
ich,bekomme,get
du,bekommst,get
er/sie/es,bekommt,gets
wir,bekommen,get
ihr,bekommt,get
sie/Sie,bekommen,get
infinitiv,arbeiten,work
ich,arbeite,work
du,arbeitest,work
er/sie/es,arbeitet,works
wir,arbeiten,work
ihr,arbeitet,work
sie/Sie,arbeiten,work
infinitiv,fragen,ask
ich,frage,ask
du,fragst,ask
er/sie/es,fragt,asks
wir,fragen,ask
ihr,fragt,ask
sie/Sie,fragen,ask
infinitiv,bringen,bring
ich,bringe,bring
du,bringst,bring
er/sie/es,bringt,brings
wir,bringen,bring
ihr,bringt,bring
sie/Sie,bringen,bring
infinitiv,senden,send
ich,sende,send
du,sendest,send
er/sie/es,sendet,sends
wir,senden,send
ihr,sendet,send
sie/Sie,senden,send
infinitiv,anrufen,call
ich,rufe an,call
du,rufst an,call
er/sie/es,ruft an,calls
wir,rufen an,call
ihr,ruft an,call
sie/Sie,rufen an,call
infinitiv,kennen,know
ich,kenne,know
du,kennst,know
er/sie/es,kennt,knows
wir,kennen,know
ihr,kennt,know
sie/Sie,kennen,know
infinitiv,warten,wait
ich,warte,wait
du,wartest,wait
er/sie/es,wartet,waits
wir,warten,wait
ihr,wartet,wait
sie/Sie,warten,wait
infinitiv,reden,talk
ich,rede,talk
du,redest,talk
er/sie/es,redet,talks
wir,reden,talk
ihr,redet,talk
sie/Sie,reden,talk
infinitiv,laufen,run
ich,laufe,run
du,läufst,run
er/sie/es,läuft,runs
wir,laufen,run
ihr,lauft,run
sie/Sie,laufen,run
infinitiv,verstehen,understand
ich,verstehe,understand
du,verstehst,understand
er/sie/es,versteht,understands
wir,verstehen,understand
ihr,versteht,understand
sie/Sie,verstehen,understand
infinitiv,finden,find
ich,finde,find
du,findest,find
er/sie/es,findet,finds
wir,finden,find
ihr,findet,find
sie/Sie,finden,find
infinitiv,glauben,believe
ich,glaube,believe
du,glaubst,believe
er/sie/es,glaubt,believes
wir,glauben,believe
ihr,glaubt,believe
sie/Sie,glauben,believe
infinitiv,helfen,help
ich,helfe,help
du,hilfst,help
er/sie/es,hilft,helps
wir,helfen,help
ihr,helft,help
sie/Sie,helfen,help
infinitiv,beginnen,begin
ich,beginne,begin
du,beginnst,begin
er/sie/es,beginnt,begins
wir,beginnen,begin
ihr,beginnt,begin
sie/Sie,beginnen,begin
infinitiv,hören,listen
ich,höre,listen
du,hörst,listen
er/sie/es,hört,listens
wir,hören,listen
ihr,hört,listen
sie/Sie,hören,listen
infinitiv,treffen,meet
ich,treffe,meet
du,triffst,meet
er/sie/es,trifft,meets
wir,treffen,meet
ihr,trefft,meet
sie/Sie,treffen,meet
infinitiv,einladen,invite
ich,lade ein,invite
du,lädst ein,invite
er/sie/es,lädt ein,invites
wir,laden ein,invite
ihr,ladet ein,invite
sie/Sie,laden ein,invite
infinitiv,benutzen,use
ich,benutze,use
du,benutzt,use
er/sie/es,benutzt,uses
wir,benutzen,use
ihr,benutzt,use
sie/Sie,benutzen,use
infinitiv,nützen,use
ich,nütze,use
du,nützt,use
er/sie/es,nützt,uses
wir,nützen,use
ihr,nützt,use
sie/Sie,nützen,use
infinitiv,stehen,stand
ich,stehe,stand
du,stehst,stand
er/sie/es,steht,stands
wir,stehen,stand
ihr,steht,stand
sie/Sie,stehen,stand
infinitiv,nehmen,take
ich,nehme,take
du,nimmst,take
er/sie/es,nimmt,takes
wir,nehmen,take
ihr,nehmt,take
sie/Sie,nehmen,take
infinitiv,schauen,look
ich,schaue,look
du,schaust,look
er/sie/es,schaut,looks
wir,schauen,look
ihr,schaut,look
sie/Sie,schauen,look
infinitiv,zeigen,show
ich,zeige,show
du,zeigst,show
er/sie/es,zeigt,shows
wir,zeigen,show
ihr,zeigt,show
sie/Sie,zeigen,show
infinitiv,üben,practice
ich,übe,practice
du,übst,practice
er/sie/es,übt,practice
wir,üben,practice
ihr,übt,practice
sie/Sie,üben,practice
infinitiv,bedeuten,mean
ich,bedeute,mean
du,bedeutest,mean
er/sie/es,bedeutet,mean
wir,bedeuten,mean
ihr,bedeutet,mean
sie/Sie,bedeuten,mean
infinitiv,meinen,mean
ich,meine,mean
du,meinst,mean
er/sie/es,meint,means
wir,meinen,mean
ihr,meint,mean
sie/Sie,meinen,mean
infinitiv,gucken,look
ich,gucke,look
du,guckst,look
er/sie/es,guckt,looks
wir,gucken,look
ihr,guckt,look
sie/Sie,gucken,looks
infinitiv,vergessen,forget
ich,vergesse,forget
du,vergisst,forget
er/sie/es,vergisst,forgets
wir,vergessen,forget
ihr,vergesst,forget
sie/Sie,vergessen,forget
infinitiv,stimmen,agree
ich,stimme,agree
du,stimmst,agree
er/sie/es,stimmt,agrees
wir,stimmen,agree
ihr,stimmt,agree
sie/Sie,stimmen,agree
infinitiv,tun,do
ich,tue,do
du,tust,do
er/sie/es,tut,does
wir,tun,do
ihr,tut,do
sie/Sie,tun,do
infinitiv,stellen,put/ensure
ich,stelle,put/ensure
du,stellst,put/ensure
er/sie/es,stellt,puts/ensures
wir,stellen,put/ensure
ihr,stellt,put/ensure
sie/Sie,stellen,put/ensure
infinitiv,bewegen,move
ich,bewege,move
du,bewegst,move
er/sie/es,bewegt,moves
wir,bewegen,move
ihr,bewegt,move
sie/Sie,bewegen,move
infinitiv,lassen,leave
ich,lasse,leave
du,lässt,leave
er/sie/es,lässt,leaves
wir,lassen,leave
ihr,lasst,leave
sie/Sie,lassen,leave
infinitiv,atmen,breathe
ich,atme,breathe
du,atmest,breathe
er/sie/es,atmet,breathes
wir,atmen,breathe
ihr,atmet,breathe
sie/Sie,atmen,breathe
infinitiv,schmerzen,hurt
ich,schmerze,hurt
du,schmerzt,hurt
er/sie/es,schmerzt,hurts
wir,schmerzen,hurt
ihr,schmerzt,hurt
sie/Sie,schmerzen,hurt
infinitiv,überraschen,surprise
ich,überrasche,surprise
du,überraschst,surprise
er/sie/es,überrascht,surprises
wir,überraschen,surprise
ihr,überrascht,surprise
sie/Sie,überraschen,surprise
infinitiv,entfernen,delete
ich,entferne,delete
du,entfernst,delete
er/sie/es,entfernt,deletes
wir,entfernen,delete
ihr,entfernt,delete
sie/Sie,entfernen,delete
infinitiv,lösen,solve
ich,löse,solve
du,löst,solve
er/sie/es,löst,solves
wir,lösen,solve
ihr,löst,solve
sie/Sie,lösen,solve
infinitiv,öffnen,open
ich,öffne,open
du,öffnest,open
er/sie/es,öffnet,opens
wir,öffnen,open
ihr,öffnet,open
sie/Sie,öffnen,open
infinitiv,entdecken,discover
ich,entdecke,discover
du,entdeckst,discover
er/sie/es,entdeckt,discovers
wir,entdecken,discover
ihr,entdeckt,discover
sie/Sie,entdecken,discover
infinitiv,speichern,save
ich,speichere,save
du,speicherst,save
er/sie/es,speichert,saves
wir,speichern,save
ihr,speichert,save
sie/Sie,speichern,save
infinitiv,vermissen,miss
ich,vermisse,miss
du,vermisst,miss
er/sie/es,vermisst,misses
wir,vermissen,miss
ihr,vermisst,miss
sie/Sie,vermissen,miss
infinitiv,empfehlen,recommend
ich,empfehle,recommend
du,empfiehlst,recommend
er/sie/es,empfiehlt,recommends
wir,empfehlen,recommend
ihr,empfehlt,recommend
sie/Sie,empfehlen,recommend
infinitiv,bevorzugen,prefer
ich,bevorzuge,prefer
du,bevorzugst,prefer
er/sie/es,bevorzugt,prefers
wir,bevorzugen,prefer
ihr,bevorzugt,prefer
sie/Sie,bevorzugen,prefer
infinitiv,sterben,die
ich,sterbe,die
du,stirbst,die
er/sie/es,stirbt,dies
wir,sterben,die
ihr,sterbt,die
sie/Sie,sterben,die
infinitiv,töten,kill
ich,töte,kill
du,tötest,kill
er/sie/es,tötet,kills
wir,töten,kill
ihr,tötet,kill
sie/Sie,töten,kill
infinitiv,verlassen,abandon
ich,verlasse,abandon
du,verlässt,abandon
er/sie/es,verlässt,abandons
wir,verlassen,abandon
ihr,verlasst,abandon
sie,verlassen,abandon
infinitiv,kommunizieren,comunicate
ich,kommuniziere,comunicate
du,kommunizierst,comunicate
er/sie/es,kommuniziert,comunicates
wir,kommunizieren,comunicate
ihr,kommuniziert,comunicate
sie/Sie,kommunizieren,comunicate
infinitiv,beißen,bite
ich,beiße,bite
du,beißt,bite
er/sie/es,beißt,bites
wir,beißen,bite
ihr,beißt,bite
sie/Sie,beißen,bite
infinitiv,entscheiden,decide
ich,entscheide,decide
du,entscheidest,decide
er/sie/es,entscheidet,decides
wir,entscheiden,decide
ihr,entscheidet,decide
sie/Sie,entscheiden,decide
infinitiv,bekennen,confess
ich,bekenne,confess
du,bekennst,confess
er/sie/es,bekennt,confesses
wir,bekennen,confess
ihr,bekennt,confess
sie/Sie,bekennen,confess
infinitiv,verwenden,use
ich,verwende,use
du,verwendest,use
er/sie/es,verwendet,uses
wir,verwenden,use
ihr,verwendet,use
sie/Sie,verwenden,uses
infinitiv,erhalten,receive
ich,erhalte,receive
du,erhältst,receive
er/sie/es,erhält,receives
wir,erhalten,receive
ihr,erhaltet,receive
sie/Sie,erhalten,receive
infinitiv,bauen,build
ich,baue,build
du,baust,build
er/sie/es,baut,builds
wir,bauen,build
ihr,baut,build
sie/Sie,bauen,build
infinitiv,leihen,borrow
ich,leihe,borrow
du,leihst,borrow
er/sie/es,leiht,borrows
wir,leihen,borrow
ihr,leiht,borrow
sie/Sie,leihen,borrow
infinitiv,stehlen,steal
ich,stehle,steal
du,stiehlst,steal
er/sie/es,stiehlt,steals
wir,stehlen,steal
ihr,stehlt,steal
sie/Sie,stehlen,steal
infinitiv,riechen,smell
ich,rieche,smell
du,riechst,smell
er/sie/es,riecht,smells
wir,riechen,smell
ihr,riecht,smell
sie/Sie,riechen,smell
infinitiv,verraten,betray
ich,verrate,betray
du,verrätst,betray
er/sie/es,verrät,betrays
wir,verraten,betray
ihr,verratet,betray
sie/Sie,verraten,betray
infinitiv,wagen,dare
ich,wage,dare
du,wagst,dare
er/sie/es,wagt,dares
wir,wagen,dare
ihr,wagt,dare
sie/Sie,wagen,dare
infinitiv,bezweifeln,doubt
ich,bezweifle,doubt
du,bezweifelst,doubt
er/sie/es,bezweifelt,doubts
wir,bezweifeln,doubt
ihr,bezweifelt,doubt
sie/Sie,bezweifeln,doubt
infinitiv,schalten,switch
ich,schalte,switch
du,schaltest,switch
er/sie/es,schaltet,switches
wir,schalten,switch
ihr,schaltet,switch
sie/Sie,schalten,switch
infinitiv,erweisen,prove
ich,erweise,prove
du,erweist,prove
er/sie/es,erweist,proves
wir,erweisen,prove
ihr,erweist,prove
sie/Sie,erweisen,prove
infinitiv,bestehen,pass
ich,bestehe,pass
du,bestehst,pass
er/sie/es,besteht,passes
wir,bestehen,pass
ihr,besteht,pass
sie/Sie,bestehen,pass
infinitiv,überlegen,consider
ich,überlege,consider
du,überlegst,consider
er/sie/es,überlegt,consider
wir,überlegen,consider
ihr,überlegt,consider
sie/Sie,überlegen,consider
infinitiv,angreifen,attack
ich,greife an,attack
du,greifst an,attack
er/sie/es,greift an,attacks
wir,greifen an,attack
ihr,greift an,attack
sie/Sie,greifen an,attack
infinitiv,erregen,excite
ich,errege,excite
du,erregst,excite
er/sie/es,erregt,excites
wir,erregen,excite
ihr,erregt,excite
sie/Sie,erregen,excite
infinitiv,einfallen,think of
ich,falle ein,think of
du,fällst ein,think of
er/sie/es,fällt ein,thinks of
wir,fallen ein,think of
ihr,fallt ein,think of
sie/Sie,fallen ein,think of
infinitiv,bewilligen,authorise
ich,bewillige,authorise
du,bewilligst,authorise
er/sie/es,bewilligt,authorises
wir,bewilligen,authorise
ihr,bewilligt,authorise
sie/Sie,bewilligen,authorise
infinitiv,ähneln,look like
ich,ähnle,look like
du,ähnelst,look like
er/sie/es,ähnelt,looks like
wir,ähneln,look like
ihr,ähnelt,look like
sie/Sie,ähneln,look like
infinitiv,wiederholen,repeat
ich,wiederhole,repeat
du,wiederholst,repeat
er/sie/es,wiederholt,repeat
wir,wiederholen,repeat
ihr,wiederholt,repeat
sie/Sie,wiederholen,repeat
infinitiv,feuern,fire
ich,feuere,fire
du,feuerst,fire
er/sie/es,feuert,fires
wir,feuern,fire
ihr,feuert,fire
sie/Sie,feuern,fire
infinitiv,steigern,increase
ich,steigere,increase
du,steigerst,increase
er/sie/es,steigert,increases
wir,steigern,increase
ihr,steigert,increase
sie/Sie,steigern,increase
infinitiv,kriegen,get
ich,kriege,get
du,kriegst,get
er/sie/es,kriegt,gets
wir,kriegen,get
ihr,kriegt,get
sie/Sie,kriegen,get
infinitiv,betreffen,concern/affect
ich,betreffe,concern/affect
du,betriffst,concern/affect
er/sie/es,betrifft,concerns/affects
wir,betreffen,concern/affect
ihr,betrefft,concern/affect
sie/Sie,betreffen,concern/affect
infinitiv,benötigen,need
ich,benötige,need
du,benötigst,need
er/sie/es,benötigt,need
wir,benötigen,need
ihr,benötigt,need
sie/Sie,benötigen,need
infinitiv,behalten,maintain
ich,behalte,maintain
du,behältst,maintain
er/sie/es,behält,maintains
wir,behalten,maintain
ihr,behaltet,maintain
sie/Sie,behalten,maintain
infinitiv,versuchen,try
ich,versuche,try
du,versuchst,try
er/sie/es,versucht,tries
wir,versuchen,try
ihr,versucht,try
sie/Sie,versuchen,try
infinitiv,halten,stop
ich,halte,stop
du,hältst,stop
er/sie/es,hält,stops
wir,halten,stop
ihr,haltet,stop
sie/Sie,halten,stop
infinitiv,brechen,break
ich,breche,break
du,brichst,break
er/sie/es,bricht,breaks
wir,brechen,break
ihr,brecht,break
sie/Sie,brechen,break
infinitiv,greifen,grab
ich,greife,grab
du,greifst,grab
er/sie/es,greift,grabs
wir,greifen,grab
ihr,greift,grab
sie/Sie,greifen,grab
infinitiv,entkommen,escape
ich,entkomme,escape
du,entkommst,escape
er/sie/es,entkommt,escapes
wir,entkommen,escape
ihr,entkommt,escape
sie/Sie,entkommen,escape
infinitiv,stecken,put
ich,stecke,put
du,steckst,put
er/sie/es,steckt,puts
wir,stecken,put
ihr,steckt,put
sie/Sie,stecken,put
infinitiv,anfassen,touch
ich,fasse an,touch
du,fassst an,touch
er/sie/es,fasst an,touches
wir,fassen an,touch
ihr,fasst an,touch
sie/Sie,fassen an,touch
infinitiv,bewundern,admire
ich,bewundere,admire
du,bewunderst,admire
er/sie/es,bewundert,admires
wir,bewundern,admire
